Премьер-лига, 2008г.
id;d;t1;t2;g1;g2;r
1;14,03,2008;93;31;0;3;1
2;15,03,2008;4;59;1;1;1
3;15,03,2008;96;92;0;3;1
4;15,03,2008;95;89;2;1;1
5;16,03,2008;83;90;1;1;1
6;16,03,2008;94;1;0;0;1
7;16,03,2008;22;3;0;0;1
8;16,03,2008;5;91;0;1;1
9;22,03,2008;3;94;1;0;2
10;22,03,2008;59;5;1;2;2
11;22,03,2008;31;4;0;2;2
12;22,03,2008;89;93;3;1;2
13;23,03,2008;1;96;2;0;2
14;23,03,2008;90;22;0;2;2
15;23,03,2008;91;83;1;0;2
16;23,03,2008;95;92;0;1;2
17;29,03,2008;93;95;2;1;3
18;29,03,2008;83;59;1;0;3
19;29,03,2008;94;90;2;1;3
20;29,03,2008;96;3;3;3;3
21;30,03,2008;4;89;1;0;3
22;30,03,2008;5;31;2;0;3
23;30,03,2008;22;91;1;3;3
24;30,03,2008;92;1;1;2;3
25;04,04,2008;90;96;2;2;4
26;05,04,2008;91;94;2;1;4
27;05,04,2008;89;5;1;2;4
28;05,04,2008;93;4;1;0;4
29;06,04,2008;3;92;1;1;4
30;06,04,2008;59;22;2;2;4
31;06,04,2008;31;83;2;1;4
32;06,04,2008;95;1;0;2;4
33;12,04,2008;4;95;0;1;5
34;12,04,2008;94;59;2;1;5
35;12,04,2008;96;91;0;4;5
36;12,04,2008;92;90;2;0;5
37;13,04,2008;5;93;2;0;5
38;13,04,2008;83;89;0;0;5
39;13,04,2008;22;31;1;1;5
40;13,04,2008;1;3;4;3;5
41;18,04,2008;59;96;3;2;6
42;19,04,2008;90;1;1;1;6
43;19,04,2008;31;94;3;0;6
44;19,04,2008;89;22;1;1;6
45;19,04,2008;95;3;1;2;6
46;20,04,2008;91;92;1;0;6
47;20,04,2008;93;83;2;1;6
48;20,04,2008;4;5;0;0;6
49;25,04,2008;1;91;0;2;7
50;26,04,2008;83;4;1;3;7
52;26,04,2008;96;31;1;0;7
53;26,04,2008;92;59;2;0;7
54;27,04,2008;5;95;0;0;7
55;27,04,2008;94;89;0;1;7
56;27,04,2008;3;90;1;1;7
57;02,05,2008;59;1;2;0;8
58;02,05,2008;31;92;2;0;8
59;02,05,2008;95;90;0;3;8
61;02,05,2008;91;3;0;3;8
62;03,05,2008;89;96;2;2;8
63;03,05,2008;93;94;1;3;8
64;03,05,2008;5;83;2;2;8
71;06,05,2008;3;59;4;2;9
72;06,05,2008;90;91;1;2;9
65;07,05,2008;83;95;0;2;9
67;07,05,2008;94;4;0;0;9
68;07,05,2008;96;93;0;1;9
69;07,05,2008;92;89;1;0;9
70;07,05,2008;1;31;2;2;9
73;10,05,2008;59;90;0;1;10
74;10,05,2008;95;91;2;0;10
75;10,05,2008;5;94;2;0;10
76;11,05,2008;31;3;1;1;10
77;11,05,2008;89;1;2;0;10
78;11,05,2008;93;92;0;1;10
79;11,05,2008;4;96;4;3;10
81;15,05,2008;94;83;1;1;11
82;15,05,2008;3;89;1;0;11
83;15,05,2008;90;31;1;1;11
84;15,05,2008;91;59;1;1;11
86;16,05,2008;96;5;2;2;11
88;16,05,2008;1;93;2;1;11
89;05,07,2008;31;91;2;2;12
91;05,07,2008;95;59;2;1;12
92;05,07,2008;83;96;1;1;12
93;06,07,2008;93;3;3;1;12
94;06,07,2008;4;1;0;2;12
95;06,07,2008;5;92;0;1;12
96;06,07,2008;22;94;5;1;12
85;09,07,2008;22;95;3;4;11
90;09,07,2008;89;90;0;0;12
98;12,07,2008;92;83;2;0;13
99;12,07,2008;3;4;1;5;13
100;12,07,2008;59;31;0;0;13
97;13,07,2008;96;22;1;4;13
101;13,07,2008;94;95;1;0;13
102;13,07,2008;1;5;4;2;13
103;13,07,2008;90;93;0;0;13
80;16,07,2008;83;22;0;0;10
87;16,07,2008;92;4;3;3;11
104;16,07,2008;91;89;0;0;13
105;19,07,2008;95;31;1;1;14
106;19,07,2008;5;3;2;2;14
107;19,07,2008;22;92;2;0;14
108;19,07,2008;94;96;3;1;14
110;20,07,2008;93;91;0;0;14
111;20,07,2008;4;90;0;2;14
112;20,07,2008;83;1;1;0;14
109;23,07,2008;89;59;4;0;14
66;23,07,2008;22;5;1;1;9
113;25,07,2008;96;95;2;0;15
114;26,07,2008;92;94;0;0;15
115;26,07,2008;1;22;1;0;15
116;26,07,2008;91;4;0;0;15
117;27,07,2008;3;83;3;0;15
118;27,07,2008;90;5;0;3;15
119;27,07,2008;59;93;1;1;15
120;30,07,2008;31;89;4;0;15
60;30,07,2008;4;22;0;0;8
122;02,08,2008;22;90;2;1;16
123;02,08,2008;94;3;0;1;16
124;02,08,2008;96;1;1;1;16
125;03,08,2008;93;89;1;0;16
126;03,08,2008;4;31;0;0;16
127;03,08,2008;83;91;1;1;16
128;03,08,2008;92;95;0;0;16
129;09,08,2008;3;96;1;1;17
130;09,08,2008;90;94;2;1;17
131;09,08,2008;59;83;1;2;17
132;09,08,2008;31;5;2;0;17
133;10,08,2008;1;92;1;0;17
134;10,08,2008;91;22;4;1;17
135;10,08,2008;89;4;0;4;17
136;10,08,2008;95;93;2;0;17
51;13,08,2008;22;93;3;1;7
137;15,08,2008;94;91;1;2;18
138;16,08,2008;5;89;0;0;18
139;16,08,2008;83;31;0;0;18
140;16,08,2008;1;95;1;0;18
141;17,08,2008;4;93;2;0;18
142;17,08,2008;22;59;1;3;18
143;17,08,2008;96;90;0;2;18
144;17,08,2008;92;3;1;1;18
145;23,08,2008;3;1;1;1;19
146;23,08,2008;91;96;2;0;19
147;23,08,2008;59;94;0;1;19
148;23,08,2008;93;5;2;1;19
149;24,08,2008;90;92;0;1;19
150;24,08,2008;31;22;0;3;19
151;24,08,2008;89;83;2;1;19
152;24,08,2008;95;4;0;0;19
153;29,08,2008;96;59;0;0;20
154;30,08,2008;5;4;0;2;20
156;31,08,2008;1;90;1;1;20
157;31,08,2008;83;93;1;1;20
158;31,08,2008;94;31;0;4;20
159;31,08,2008;92;91;1;2;20
160;31,08,2008;3;95;2;1;20
161;13,09,2008;90;3;2;1;21
163;13,09,2008;89;94;2;0;21
164;13,09,2008;93;22;1;4;21
162;14,09,2008;91;1;1;0;21
165;14,09,2008;59;92;1;2;21
166;14,09,2008;31;96;3;0;21
167;14,09,2008;95;5;0;1;21
168;14,09,2008;4;83;4;1;21
169;20,09,2008;83;5;2;3;22
170;20,09,2008;96;89;2;1;22
171;20,09,2008;92;31;1;0;22
172;20,09,2008;1;59;2;0;22
173;21,09,2008;22;4;1;3;22
174;21,09,2008;94;93;2;0;22
175;21,09,2008;3;91;0;1;22
176;21,09,2008;90;95;1;3;22
177;27,09,2008;59;3;1;2;23
178;27,09,2008;31;1;3;3;23
179;27,09,2008;95;83;2;2;23
180;27,09,2008;5;22;0;3;23
184;27,09,2008;4;94;2;1;23
181;28,09,2008;91;90;0;1;23
182;28,09,2008;89;92;0;0;23
183;28,09,2008;93;96;1;0;23
185;04,10,2008;94;5;0;1;24
186;04,10,2008;1;89;2;1;24
188;04,10,2008;91;95;3;0;24
187;05,10,2008;3;31;0;1;24
189;05,10,2008;22;83;8;1;24
190;05,10,2008;96;4;1;2;24
191;05,10,2008;92;93;0;0;24
192;05,10,2008;90;59;2;1;24
193;18,10,2008;59;91;0;2;25
194;18,10,2008;89;3;0;0;25
195;18,10,2008;95;22;2;2;25
196;18,10,2008;83;94;0;0;25
197;19,10,2008;31;90;1;1;25
198;19,10,2008;93;1;0;0;25
199;19,10,2008;4;92;4;1;25
200;19,10,2008;5;96;0;2;25
201;25,10,2008;96;83;3;1;26
202;25,10,2008;3;93;3;1;26
203;25,10,2008;91;31;3;0;26
204;25,10,2008;59;95;2;1;26
205;26,10,2008;94;22;1;1;26
206;26,10,2008;92;5;0;0;26
208;26,10,2008;90;89;0;0;26
207;27,10,2008;1;4;1;3;26
121;29,10,2008;5;59;3;0;16
155;29,10,2008;22;89;2;2;20
209;01,10,2008;22;96;1;0;27
210;01,11,2008;4;3;0;1;27
211;02,11,2008;89;91;1;2;27
212;02,11,2008;95;94;1;1;27
213;02,11,2008;93;90;1;1;27
214;02,11,2008;83;92;0;1;27
215;03,11,2008;31;59;4;0;27
216;03,11,2008;5;1;0;1;27
217;07,11,2008;96;94;1;1;28
219;08,11,2008;59;89;0;1;28
220;08,11,2008;31;95;2;0;28
218;09,11,2008;3;5;0;1;28
221;09,11,2008;92;22;1;1;28
222;09,11,2008;1;83;2;0;28
224;09,11,2008;91;93;1;3;28
223;10,11,2008;90;4;1;4;28
225;16,11,2008;89;31;0;0;29
226;16,11,2008;95;96;1;2;29
227;16,11,2008;93;59;0;0;29
228;16,11,2008;4;91;4;0;29
229;16,11,2008;5;90;3;2;29
230;16,11,2008;83;3;2;2;29
231;16,11,2008;22;1;1;1;29
232;16,11,2008;94;92;0;1;29
233;22,11,2008;92;96;3;1;30
234;22,11,2008;1;94;2;0;30
235;22,11,2008;3;22;1;3;30
236;22,11,2008;90;83;3;0;30
237;22,11,2008;91;5;1;2;30
238;22,11,2008;59;4;1;0;30
239;22,11,2008;31;93;4;3;30
240;22,11,2008;89;95;1;1;30
