Премьер-лига. 2009г.
id;d;t1;t2;g1;g2;r
1;14,03,2009;1;90;1;0;1
2;14,03,2009;91;68;3;0;1
3;14,03,2009;92;80;0;0;1
4;14,03,2009;5;96;1;1;1
5;15,03,2009;93;95;1;0;1
6;15,03,2009;3;22;1;1;1
7;15,03,2009;89;4;0;3;1
8;15,03,2009;94;31;0;1;1
9;21,03,2009;1;96;3;2;2
10;21,03,2009;31;92;1;0;2
11;21,03,2009;68;3;1;0;2
12;21,03,2009;90;93;0;0;2
13;22,03,2009;80;5;1;1;2
15;22,03,2009;22;89;2;1;2
16;22,03,2009;95;91;0;0;2
14;23,03,2009;4;94;0;1;2
17;03,04,2009;96;80;0;1;3
18;04,04,2009;93;1;1;0;3
19;04,04,2009;91;90;0;0;3
20;04,04,2009;89;68;2;1;3
21;05,04,2009;3;95;2;0;3
22;05,04,2009;94;22;0;3;3
23;05,04,2009;92;4;0;0;3
24;05,04,2009;5;31;2;1;3
25;10,04,2009;31;96;3;0;4
26;11,04,2009;68;94;0;0;4
27;11,04,2009;90;3;3;1;4
28;11,04,2009;1;80;1;0;4
29;11,04,2009;93;91;1;2;4
30;12,04,2009;4;5;4;1;4
31;12,04,2009;22;92;0;0;4
32;12,04,2009;95;89;1;1;4
33;18,04,2009;3;93;2;0;5
34;18,04,2009;89;90;0;1;5
35;18,04,2009;94;95;1;0;5
36;18,04,2009;80;31;0;0;5
37;19,04,2009;91;1;3;0;5
38;19,04,2009;92;68;1;0;5
39;19,04,2009;5;22;1;1;5
40;19,04,2009;96;4;0;3;5
41;25,04,2009;22;96;4;2;6
42;25,04,2009;1;31;0;1;6
43;25,04,2009;93;89;1;1;6
44;25,04,2009;91;3;0;2;6
45;26,04,2009;4;80;1;2;6
46;26,04,2009;68;5;1;0;6
47;26,04,2009;95;92;4;1;6
48;26,04,2009;90;94;2;1;6
49;02,05,2009;3;1;0;2;7
50;02,05,2009;89;91;0;5;7
51;02,05,2009;94;93;2;1;7
52;02,05,2009;92;90;0;1;7
53;03,05,2009;5;95;1;0;7
54;03,05,2009;96;68;2;2;7
55;03,05,2009;80;22;2;1;7
56;03,05,2009;31;4;1;3;7
57;10,05,2009;22;31;2;0;8
58;10,05,2009;90;5;0;0;8
59;10,05,2009;1;4;1;2;8
60;10,05,2009;93;92;2;2;8
61;11,05,2009;68;80;0;0;8
62;11,05,2009;95;96;0;0;8
63;11,05,2009;91;94;4;0;8
64;11,05,2009;3;89;4;0;8
65;16,05,2009;92;91;2;2;9
66;16,05,2009;5;93;4;0;9
67;16,05,2009;96;90;1;1;9
68;16,05,2009;80;95;1;1;9
69;17,05,2009;89;1;0;0;9
70;17,05,2009;94;3;1;1;9
71;17,05,2009;31;68;1;0;9
72;17,05,2009;4;22;2;1;9
73;23,05,2009;93;96;2;0;10
74;23,05,2009;91;5;2;0;10
75;23,05,2009;3;92;5;1;10
76;23,05,2009;89;94;0;0;10
